Instance Name       Completion Time     Objective Value     Gap                 Nb. of ULs          Nb. of Desired ULs  Grid Occupancy      UL Occupancy        
                                                                                                                                                                
Instance_1          1.571500            48                  0                   32                  5                   -                   -                   
Instance_10         0.759100            23                  0                   32                  5                   -                   -                   
Instance_100        0.798400            102                 0                   48                  5                   -                   -                   
Instance_101        0.943700            146                 0                   72                  5                   -                   -                   
Instance_102        1.073300            128                 0                   72                  5                   -                   -                   
Instance_103        0.941500            111                 0                   72                  5                   -                   -                   
Instance_104        0.862300            69                  0                   72                  5                   -                   -                   
Instance_105        0.916800            73                  0                   72                  5                   -                   -                   
Instance_106        1.364200            99                  0                   72                  5                   -                   -                   
Instance_107        0.839300            58                  0                   72                  5                   -                   -                   
Instance_108        0.868700            73                  0                   72                  5                   -                   -                   
Instance_109        0.817300            104                 0                   72                  5                   -                   -                   
Instance_11         0.640500            63                  0                   48                  5                   -                   -                   
Instance_110        0.823500            149                 0                   72                  5                   -                   -                   
Instance_111        0.974900            92                  0                   96                  5                   -                   -                   
Instance_112        1.411900            88                  0                   96                  5                   -                   -                   
Instance_113        1.099700            75                  0                   96                  5                   -                   -                   
Instance_114        1.053600            33                  0                   96                  5                   -                   -                   
Instance_115        0.928400            177                 0                   96                  5                   -                   -                   
Instance_116        0.871800            145                 0                   96                  5                   -                   -                   
Instance_117        0.888000            175                 0                   96                  5                   -                   -                   
Instance_118        0.885700            57                  0                   96                  5                   -                   -                   
Instance_119        1.125500            78                  0                   96                  5                   -                   -                   
Instance_12         0.781600            84                  0                   48                  5                   -                   -                   
Instance_120        0.960500            130                 0                   96                  5                   -                   -                   
Instance_121        0.935600            25                  0                   72                  5                   -                   -                   
Instance_122        1.672100            91                  0                   72                  5                   -                   -                   
Instance_123        1.255500            69                  0                   72                  5                   -                   -                   
Instance_124        0.935200            126                 0                   72                  5                   -                   -                   
Instance_125        0.922100            50                  0                   72                  5                   -                   -                   
Instance_126        0.951000            80                  0                   72                  5                   -                   -                   
Instance_127        0.942200            92                  0                   72                  5                   -                   -                   
Instance_128        1.193800            4                   0                   72                  5                   -                   -                   
Instance_129        1.020000            64                  0                   72                  5                   -                   -                   
Instance_13         0.700600            61                  0                   48                  5                   -                   -                   
