Instance Name       Completion Time     Objective Value     Obj. Func. LB       Gap                 Nb. of ULs          Nb. of Desired ULs  Grid Occupancy      UL Occupancy        
                                                                                                                                                                                    
Instance_100_large  30013.865400        711.000000          672.000000          0.054852            240                 18                  0.631579            0.075000            
Instance_101_large  30002.977800        1509.000000         1480.000000         0.019218            360                 18                  0.750000            0.050000            
Instance_102_large  30010.691600        1204.000000         1132.000000         0.059801            360                 18                  0.750000            0.050000            
Instance_103_large  30009.907900        1433.000000         1391.000000         0.029309            360                 18                  0.750000            0.050000            
Instance_104_large  30008.658700        1311.000000         1280.000000         0.023646            360                 18                  0.750000            0.050000            
Instance_105_large  29994.628100        1557.000000         1502.000000         0.035324            360                 18                  0.750000            0.050000            
Instance_106_large  30010.970300        1451.000000         1370.000000         0.055824            360                 18                  0.750000            0.050000            
Instance_107_large  30012.628300        1399.000000         1395.000000         0.002859            360                 18                  0.750000            0.050000            
Instance_108_large  30008.833800        1290.000000         1225.000000         0.050388            360                 18                  0.750000            0.050000            
Instance_109_large  30013.739800        1218.000000         1145.000000         0.059934            360                 18                  0.750000            0.050000            
Instance_10_large   30010.578700        485.000000          421.000000          0.131959            200                 18                  0.588235            0.090000            
Instance_110_large  30007.210700        1522.000000         1380.000000         0.093298            360                 18                  0.750000            0.050000            
Instance_111_large  30001.020100        1745.000000         1660.000000         0.048711            480                 18                  1.000000            0.037500            
Instance_112_large  30009.234700        1720.000000         1671.000000         0.028488            480                 18                  1.000000            0.037500            
Instance_113_large  30011.144400        1701.000000         1645.000000         0.032922            480                 18                  1.000000            0.037500            
Instance_114_large  30017.827500        2287.000000         2216.000000         0.031045            480                 18                  1.000000            0.037500            
Instance_115_large  29999.569700        2389.000000         2297.000000         0.038510            480                 18                  1.000000            0.037500            
Instance_116_large  30014.138900        1578.000000         1463.000000         0.072877            480                 18                  1.000000            0.037500            
Instance_117_large  30011.037400        1759.000000         1633.000000         0.071632            480                 18                  1.000000            0.037500            
Instance_118_large  30015.205200        2218.000000         2178.000000         0.018034            480                 18                  1.000000            0.037500            
Instance_119_large  30010.851200        2107.000000         2046.000000         0.028951            480                 18                  1.000000            0.037500            
Instance_11_large   30011.080600        885.000000          752.000000          0.150282            300                 18                  0.750000            0.060000            
Instance_120_large  30020.317200        1624.000000         1557.000000         0.041256            480                 18                  1.000000            0.037500            
Instance_121_large  30009.021100        978.000000          974.000000          0.004090            288                 18                  0.631579            0.062500            
Instance_122_large  30026.411100        890.000000          853.000000          0.041573            288                 18                  0.600000            0.062500            
Instance_123_large  30011.637500        822.000000          572.000000          0.304136            288                 18                  0.666667            0.062500            
Instance_124_large  30015.116300        972.000000          915.000000          0.058642            288                 18                  0.571429            0.062500            
Instance_125_large  30019.278300        783.000000          714.000000          0.088123            288                 18                  0.705882            0.062500            
Instance_126_large  30009.373200        637.000000          585.000000          0.081633            288                 18                  0.631579            0.062500            
Instance_127_large  30010.794000        1085.000000         1041.000000         0.040553            288                 18                  0.600000            0.062500            
