Instance Name       Completion Time     Objective Value     Obj. Func. LB       Gap                 Nb. of ULs          Nb. of Desired ULs  Grid Occupancy      UL Occupancy        
                                                                                                                                                                                    
Instance_1          0.795500            48                  0                   0                   32                  5                   -                   -                   
Instance_100_large  5.871600            790                 0                   0                   240                 18                  -                   -                   
Instance_101_large  6.141400            1588                0                   0                   360                 18                  -                   -                   
Instance_102_large  6.187200            1305                0                   0                   360                 18                  -                   -                   
Instance_103_large  6.277700            1758                0                   0                   360                 18                  -                   -                   
Instance_104_large  6.412200            1369                0                   0                   360                 18                  -                   -                   
Instance_105_large  6.261300            1637                0                   0                   360                 18                  -                   -                   
Instance_106_large  6.620300            1948                0                   0                   360                 18                  -                   -                   
Instance_107_large  6.290100            1646                0                   0                   360                 18                  -                   -                   
Instance_108_large  6.443200            1390                0                   0                   360                 18                  -                   -                   
Instance_109_large  6.000700            1478                0                   0                   360                 18                  -                   -                   
Instance_10_large   5.336300            641                 0                   0                   200                 18                  -                   -                   
Instance_110_large  6.206800            1767                0                   0                   360                 18                  -                   -                   
Instance_111_large  6.351400            2092                0                   0                   480                 18                  -                   -                   
Instance_112_large  6.458400            1990                0                   0                   480                 18                  -                   -                   
Instance_113_large  6.477600            1790                0                   0                   480                 18                  -                   -                   
Instance_114_large  6.451200            2332                0                   0                   480                 18                  -                   -                   
Instance_115_large  6.475100            2690                0                   0                   480                 18                  -                   -                   
Instance_116_large  6.734200            1637                0                   0                   480                 18                  -                   -                   
Instance_117_large  6.413200            1914                0                   0                   480                 18                  -                   -                   
Instance_118_large  6.505200            2428                0                   0                   480                 18                  -                   -                   
Instance_119_large  6.359800            2597                0                   0                   480                 18                  -                   -                   
Instance_11_large   5.639200            949                 0                   0                   300                 18                  -                   -                   
Instance_120_large  6.599700            1890                0                   0                   480                 18                  -                   -                   
Instance_121_large  5.556700            1420                0                   0                   288                 18                  -                   -                   
Instance_122_large  6.538400            1089                0                   0                   288                 18                  -                   -                   
Instance_123_large  6.062200            1120                0                   0                   288                 18                  -                   -                   
Instance_124_large  6.058100            1056                0                   0                   288                 18                  -                   -                   
Instance_125_large  5.804400            938                 0                   0                   288                 18                  -                   -                   
Instance_126_large  5.612900            851                 0                   0                   288                 18                  -                   -                   
Instance_127_large  6.548500            1275                0                   0                   288                 18                  -                   -                   
Instance_128_large  6.302200            1182                0                   0                   288                 18                  -                   -                   
Instance_129_large  5.328700            1130                0                   0                   288                 18                  -                   -                   
Instance_12_large   5.735800            1477                0                   0                   300                 18                  -                   -                   
Instance_130_large  5.928900            1311                0                   0                   288                 18                  -                   -                   
Instance_131_large  7.232700            1381                0                   0                   432                 18                  -                   -                   
Instance_132_large  7.034900            1200                0                   0                   432                 18                  -                   -                   
Instance_133_large  6.808300            1827                0                   0                   432                 18                  -                   -                   
Instance_134_large  7.395400            1628                0                   0                   432                 18                  -                   -                   
Instance_135_large  6.792900            1484                0                   0                   432                 18                  -                   -                   
Instance_136_large  6.889400            1736                0                   0                   432                 18                  -                   -                   
Instance_137_large  7.206100            2159                0                   0                   432                 18                  -                   -                   
Instance_138_large  6.595300            1859                0                   0                   432                 18                  -                   -                   
Instance_139_large  7.431200            1889                0                   0                   432                 18                  -                   -                   
Instance_13_large   5.655900            885                 0                   0                   300                 18                  -                   -                   
Instance_140_large  7.001500            2189                0                   0                   432                 18                  -                   -                   
Instance_141_large  7.400900            1655                0                   0                   576                 18                  -                   -                   
Instance_142_large  7.264300            1429                0                   0                   576                 18                  -                   -                   
Instance_143_large  7.424800            1819                0                   0                   576                 18                  -                   -                   
Instance_144_large  7.406900            2834                0                   0                   576                 18                  -                   -                   
Instance_145_large  7.222600            2517                0                   0                   576                 18                  -                   -                   
Instance_146_large  7.843100            2359                0                   0                   576                 18                  -                   -                   
Instance_147_large  7.449000            1637                0                   0                   576                 18                  -                   -                   
Instance_148_large  7.517600            1763                0                   0                   576                 18                  -                   -                   
Instance_149_large  7.303400            2302                0                   0                   576                 18                  -                   -                   
Instance_14_large   5.619800            1611                0                   0                   300                 18                  -                   -                   
Instance_150_large  7.321400            2582                0                   0                   576                 18                  -                   -                   
Instance_151_large  7.082600            1453                0                   0                   336                 18                  -                   -                   
Instance_152_large  7.198600            1189                0                   0                   336                 18                  -                   -                   
Instance_153_large  6.488500            1763                0                   0                   336                 18                  -                   -                   
