
Instance Name       Completion Time     Objective Value     Obj. Func. LB       Gap                 Nb. of ULs          Nb. of Desired ULs  Grid Occupancy      UL Occupancy        
Instance_1_large    35605.305700        640.000000          640.000000          0.000000            200                 18                  0.555556            0.090000            
Instance_2_large    600379.836400       578.000000          565.000000          0.022491            200                 18                  0.555556            0.090000            
Instance_3_large    112523.508100       619.000000          619.000000          0.000000            200                 18                  0.625000            0.090000            
Instance_4_large    434010.643900       381.000000          381.000000          0.000000            200                 18                  0.666667            0.090000            
Instance_5_large    49428.270500        701.000000          701.000000          0.000000            200                 18                  0.625000            0.090000            
Instance_6_large    139999.948700       751.000000          751.000000          0.000000            200                 18                  0.714286            0.090000            
Instance_10_large   199323.629100       485.000000          485.000000          0.000000            200                 18                  0.588235            0.090000            
Instance_11_large   600119.395300       885.000000          835.000000          0.056497            300                 18                  0.750000            0.060000            
Instance_12_large   600386.009200       1149.000000         1125.000000         0.020888            300                 18                  0.750000            0.060000            
Instance_13_large   429505.602000       868.000000          868.000000          0.000000            300                 18                  0.750000            0.060000            
Instance_14_large   601326.000100       1399.000000         1337.000000         0.044317            300                 18                  0.750000            0.060000            
Instance_15_large   600350.722700       1138.000000         1107.000000         0.027241            300                 18                  0.750000            0.060000            
Instance_16_large   600252.584700       1198.000000         1197.000000         0.000835            300                 18                  0.750000            0.060000            
Instance_17_large   600586.116700       879.000000          870.000000          0.010239            300                 18                  0.750000            0.060000            
Instance_18_large   203930.405100       893.000000          893.000000          0.000000            300                 18                  0.750000            0.060000            
Instance_19_large   281022.447800       1129.000000         1129.000000         0.000000            300                 18                  0.750000            0.060000            
Instance_20_large   509143.973800       861.000000          861.000000          0.000000            300                 18                  0.750000            0.060000            
Instance_21_large   600242.473500       774.000000          738.000000          0.046512            400                 18                  1.000000            0.045000            
Instance_22_large   598625.491200       1417.000000         1401.000000         0.011291            400                 18                  1.000000            0.045000            
Instance_23_large   600299.185400       1298.000000         1280.000000         0.013867            400                 18                  1.000000            0.045000            
Instance_24_large   600161.235800       1983.000000         1948.000000         0.017650            400                 18                  1.000000            0.045000            
Instance_25_large   600496.389500       1366.000000         1349.000000         0.012445            400                 18                  1.000000            0.045000            
Instance_26_large   600282.136900       1206.000000         1183.000000         0.019071            400                 18                  1.000000            0.045000            
Instance_27_large   600259.231300       1253.000000         1242.000000         0.008779            400                 18                  1.000000            0.045000            
Instance_28_large   600213.676100       1326.000000         1319.000000         0.005279            400                 18                  1.000000            0.045000            
Instance_29_large   600362.069700       990.000000          975.000000          0.015152            400                 18                  1.000000            0.045000            
Instance_30_large   600251.083500       1108.000000         1086.000000         0.019856            400                 18                  1.000000            0.045000            
Instance_31_large   600324.859400       650.000000          632.000000          0.027692            240                 18                  0.666667            0.075000            
Instance_32_large   600107.503200       637.000000          624.000000          0.020408            240                 18                  0.666667            0.075000            
Instance_33_large   600665.076300       623.000000          609.000000          0.022472            240                 18                  0.666667            0.075000            
